transaction_id,transaction_date,branch_id,terminal_id,customer_id,card_type,merchant_category,city,amount,currency,status,network,auth_code,batch_id,employee_id
TXN200000,2026-07-13 21:45:00,BR150,POS1010,C612894,Visa,Utilities,Pune,62491.68,INR,Approved,MC,995640,B18,E1386
TXN200001,2026-07-17 16:36:00,BR139,POS1039,C671371,RuPay,Travel,Visakhapatnam,29925.2,INR,Approved,NPCI,330130,B05,E1338
TXN200002,2026-07-22 13:04:00,BR103,POS1132,C950199,Visa,Dining,Bengaluru,37501.9,INR,Approved,NPCI,212903,B01,E1123
TXN200003,2026-07-10 05:05:00,BR128,POS1035,C406768,RuPay,Fuel,Delhi,9120.61,INR,Approved,NPCI,176825,B15,E1282
TXN200004,2026-07-02 08:07:00,BR110,POS1196,C912568,RuPay,ATM,Bengaluru,53377.23,INR,Approved,NPCI,724486,B20,E1097
TXN200005,2026-07-08 03:46:00,BR117,POS1048,C434125,Mastercard,Utilities,Delhi,11358.8,INR,Approved,MC,280911,B18,E1331
TXN200006,2026-07-29 15:51:00,BR102,POS1020,C113574,Mastercard,Electronics,Delhi,69522.39,INR,Approved,MC,652809,B21,E1197
TXN200007,2026-07-18 18:22:00,BR142,POS1159,C383056,Mastercard,Pharmacy,Delhi,7756.05,INR,Approved,NPCI,469005,B29,E1354
TXN200008,2026-07-26 05:03:00,BR120,POS1152,C173902,RuPay,Electronics,Kolkata,42955.06,INR,Approved,MC,816054,B09,E1262
TXN200009,2026-07-12 19:54:00,BR132,POS1001,C523115,Visa,Travel,Hyderabad,10129.4,INR,Approved,NPCI,576312,B06,E1245
TXN200010,2026-07-11 22:05:00,BR129,POS1160,C964886,Mastercard,Fuel,Hyderabad,5765.41,INR,Declined,VISA,239170,B27,E1122
TXN200011,2026-07-15 09:04:00,BR128,POS1045,C459598,RuPay,Grocery,Bengaluru,64773.65,INR,Reversed,MC,214773,B14,E1186
TXN200012,2026-07-10 20:18:00,BR143,POS1049,C475537,Mastercard,Grocery,Visakhapatnam,41264.47,INR,Approved,NPCI,228397,B11,E1051
TXN200013,2026-07-01 00:32:00,BR144,POS1154,C883391,Mastercard,Pharmacy,Hyderabad,44686.94,INR,Reversed,VISA,576937,B31,E1169
TXN200014,2026-07-21 06:46:00,BR117,POS1136,C422324,Visa,Pharmacy,Delhi,18346.29,INR,Approved,VISA,604741,B06,E1196
TXN200015,2026-07-22 11:36:00,BR108,POS1120,C883036,Mastercard,Utilities,Pune,52192.62,INR,Approved,NPCI,604366,B31,E1317
TXN200016,2026-07-22 15:55:00,BR145,POS1184,C762316,RuPay,Travel,Bengaluru,74193.66,INR,Approved,VISA,191065,B04,E1358
TXN200017,2026-07-05 09:55:00,BR142,POS1100,C631722,Mastercard,Fuel,Visakhapatnam,18661.95,INR,Declined,MC,579251,B02,E1327
TXN200018,2026-07-20 10:06:00,BR135,POS1062,C509008,RuPay,Pharmacy,Delhi,26436.0,INR,Approved,VISA,200606,B27,E1043
TXN200019,2026-07-17 14:11:00,BR144,POS1099,C688899,Mastercard,ATM,Pune,56736.63,INR,Approved,VISA,969642,B18,E1005
TXN200020,2026-07-21 03:27:00,BR150,POS1078,C215440,RuPay,Dining,Hyderabad,21293.26,INR,Approved,NPCI,357801,B19,E1133
