transaction_id,transaction_date,customer_id,city,merchant_category,payment_mode,amount
TXN000001,2026-05-01,CUST81946,Mumbai,Travel,Credit Card,48222.26
TXN000002,2026-05-28,CUST45523,Bengaluru,Fashion,Credit Card,59568.75
TXN000003,2026-04-17,CUST94523,Mumbai,Grocery,Debit Card,51636.52
TXN000004,2026-06-30,CUST39235,Nagpur,Fuel,Debit Card,70321.0
TXN000005,2026-01-18,CUST54435,Hyderabad,Fashion,Debit Card,22737.63
TXN000006,2026-04-22,CUST72764,Kolkata,Utilities,NetBanking,65800.64
TXN000007,2026-05-31,CUST54445, Chennai ,Healthcare,NetBanking,40153.58
TXN000008,2026-06-08,CUST82759,Delhi,Grocery,UPI,47011.42
TXN000009,2026-05-09,CUST99785,Kolkata,Fashion,Credit Card,77044.3
TXN000010,2026-05-02,CUST82126,Indore,Electronics,Debit Card,13230.36
TXN000011,2026-04-30,CUST93618, Chennai ,Fashion,UPI,65856.17
TXN000012,2026-04-12,CUST80635,vijayawada,Fuel,Debit Card,45251.07
TXN000013,2026-04-23,CUST13637,Pune,Fuel,UPI,68190.69
TXN000014,2026-06-10,CUST35209,Jaipur,Fashion,Credit Card,20555.86
TXN000015,2026-04-29,CUST45208,COIMBATORE,Healthcare,Wallet,49286.62
TXN000016,2026-05-13,CUST76249,Chennai,Restaurants,NetBanking,36060.49
TXN000017,2026-01-27,CUST96980,Indore,Grocery,NetBanking,70516.19
TXN000018,2026-05-08,CUST35286,Vijayawada,Travel,Wallet,67620.94
TXN000019,2026-04-13,CUST63208,Hyderabad,Healthcare,Debit Card,62990.07
TXN000020,2026-04-26,CUST65987,Indore,Healthcare,NetBanking,17767.38
TXN000021,2026-02-04,CUST17395,Nagpur,Grocery,UPI,26738.37
TXN000022,2026-01-14,CUST65394,DELHI,Healthcare,Credit Card,34250.55
TXN000023,2026-06-03,CUST38665,Bengaluru,Electronics,NetBanking,6398.45
TXN000024,2026-04-04,CUST93491,Jaipur,Restaurants,Debit Card,82324.69
TXN000025,2026-06-21,CUST68451,Mumbai,Healthcare,Wallet,54085.66
TXN000026,2026-03-01,CUST42150,Visakhapatnam,Healthcare,Credit Card,1485.03
TXN000027,2026-04-09,CUST68081,hyderabad,Electronics,Credit Card,18168.91
TXN000028,2026-01-24,CUST62264,Vijayawada,Grocery,Wallet,61973.9
TXN000029,2026-05-18,CUST36049,Jaipur,Electronics,UPI,68612.86
TXN000030,2026-04-12,CUST51691,Lucknow,Electronics,Wallet,48284.83
TXN000031,2026-04-05,CUST76199,MUMBAI,Fashion,UPI,57724.66
TXN000032,2026-03-20,CUST58901,Jaipur,Restaurants,Debit Card,78541.4
TXN000033,2026-01-14,CUST22420,Bengaluru,Fuel,Debit Card,50665.37
TXN000034,2026-04-01,CUST12778,Delhi,Fuel,Wallet,30198.82
TXN000035,2026-01-28,CUST89735,Hyderabad,Grocery,Wallet,67830.85
TXN000036,2026-02-11,CUST50444,CHENNAI,Utilities,Credit Card,44502.85
TXN000037,2026-02-03,CUST42473,Hyderabad,Restaurants,NetBanking,56021.67
TXN000038,2026-04-15,CUST11398,Kolkata,Fashion,UPI,66209.61
TXN000039,2026-03-19,CUST53141,Jaipur,Electronics,UPI,65435.37
TXN000040,2026-01-25,CUST48356,Hyderabad,Utilities,NetBanking,7260.78
TXN000041,2026-02-19,CUST58730,Coimbatore,Healthcare,NetBanking,30894.17
TXN000042,2026-02-24,CUST57062,Delhi,Restaurants,Credit Card,14812.03
TXN000043,2026-05-12,CUST60941,Coimbatore,Travel,Credit Card,84994.76
TXN000044,2026-05-30,CUST58707,lucknow,Restaurants,Wallet,55896.36
TXN000045,2026-02-24,CUST40366,chennai,Travel,UPI,3490.89
TXN000046,2026-06-07,CUST48621,Kolkata,Travel,UPI,22253.64
TXN000047,2026-04-02,CUST95400,Delhi,Healthcare,UPI,21144.33
TXN000048,2026-05-26,CUST57043,Coimbatore,Restaurants,UPI,33076.61
TXN000049,2026-03-11,CUST39882,JAIPUR,Travel,Debit Card,74036.44
TXN000050,2026-03-22,CUST59556, Hyderabad ,Restaurants,NetBanking,3861.49
TXN000051,2026-05-28,CUST89875,Bengaluru,Electronics,NetBanking,30410.86
TXN000052,2026-06-07,CUST66264, Vijayawada ,Grocery,Debit Card,14672.16
TXN000053,2026-05-09,CUST59486,Chennai,Electronics,Wallet,64989.45
TXN000054,2026-05-22,CUST98114,Vijayawada,Fuel,Wallet,80999.57
TXN000055,2026-01-03,CUST10454, Jaipur ,Grocery,Credit Card,58963.0
TXN000056,2026-02-15,CUST17872, Lucknow ,Utilities,UPI,20999.23
TXN000057,2026-02-22,CUST23811,Jaipur,Healthcare,UPI,16424.29
TXN000058,2026-05-25,CUST56923,Indore,Grocery,Debit Card,36112.2
TXN000059,2026-03-13,CUST50808,Nagpur,Utilities,NetBanking,80850.61
TXN000060,2026-03-12,CUST59408,Visakhapatnam,Electronics,NetBanking,59903.97
TXN000061,2026-06-02,CUST72254,Mumbai,Fashion,Debit Card,23762.78
TXN000062,2026-01-23,CUST66631, Delhi ,Fashion,Debit Card,52400.46
TXN000063,2026-04-05,CUST83096,Vijayawada,Healthcare,Credit Card,58458.55
TXN000064,2026-03-07,CUST57226,Delhi,Electronics,Wallet,35625.24
TXN000065,2026-06-29,CUST52427,Delhi,Healthcare,Credit Card,80899.33
TXN000066,2026-03-19,CUST82801, Bengaluru ,Utilities,NetBanking,67363.7
TXN000067,2026-05-06,CUST77503,Bengaluru,Utilities,NetBanking,5292.28
TXN000068,2026-02-01,CUST82230,Coimbatore,Utilities,NetBanking,26576.12
TXN000069,2026-06-06,CUST99451,PUNE,Fashion,Debit Card,34565.27
TXN000070,2026-04-24,CUST80494,visakhapatnam,Grocery,Credit Card,84008.49
TXN000071,2026-04-06,CUST42563,kolkata,Fashion,Debit Card,30120.18
TXN000072,2026-01-09,CUST20067,COIMBATORE,Utilities,UPI,9572.31
TXN000073,2026-05-08,CUST73811,Visakhapatnam,Healthcare,Credit Card,50606.67
TXN000074,2026-05-25,CUST78973,Indore,Grocery,NetBanking,4104.32
TXN000075,2026-02-03,CUST55922,Coimbatore,Grocery,Wallet,22363.15
TXN000076,2026-01-01,CUST39707,Coimbatore,Electronics,Debit Card,44054.45
