transaction_id,transaction_date,city,customer_id,card_type,expense_type,gender,amount,payment_mode,merchant,merchant_category,approval_status
n100000,2026-06-13,Bengaluru,C13278,RuPay,Groceries,Male,3574.49,Credit,DMart,Fuel,Declined
n100001,2026-01-09,Hyderabad,C22280,MasterCard,Groceries,Male,14075.0,NetBanking,IOCL,Retail,Declined
n100002,2026-05-31,Delhi,C10851,MasterCard,Utilities,Female,8572.24,Credit,IRCTC,Travel,Approved
n100003,2026-01-24,Kolkata,C22676,RuPay,Travel,Female,20197.49,NetBanking,HPCL,Fuel,Approved
n100004,2026-04-07,Bengaluru,C82357,RuPay,Utilities,Female,14476.07,NetBanking,DMart,E-commerce,Approved
n100005,2026-03-16,Bengaluru,C40512,Visa,Dining,Female,11389.92,UPI,Reliance,Travel,Declined
n100006,2026-02-23,Delhi,C99593,Visa,Shopping,Male,13400.08,Credit,Reliance,Food,Declined
n100007,2026-03-11,Mumbai,C99733,RuPay,Fuel,Male,20562.88,UPI,IOCL,Travel,Approved
n100008,2026-02-24,Pune,C37869,Amex,Dining,Female,3657.5,Credit,IRCTC,Utilities,Declined
n100009,2026-05-30,Kolkata,C86484,Amex,Travel,Male,24933.41,Credit,HPCL,E-commerce,Approved
n100010,2026-01-29,Chennai,C92240,MasterCard,Utilities,Female,14950.58,UPI,IOCL,Fuel,Declined
n100011,2026-05-16,Delhi,C82512,Visa,Utilities,Male,17074.59,NetBanking,Swiggy,Utilities,Declined
n100012,2026-01-29,Delhi,C66985,MasterCard,Dining,Male,23850.02,NetBanking,Swiggy,Fuel,Approved
n100013,2026-05-10,Bengaluru,C91959,RuPay,Utilities,Male,3905.7,Credit,Amazon,Fuel,Declined
n100014,2026-05-06,Hyderabad,C24662,RuPay,Travel,Male,1542.34,NetBanking,DMart,E-commerce,Declined
n100015,2026-01-18,Chennai,C26828,Amex,Shopping,Male,6699.91,NetBanking,IOCL,Retail,Approved
n100016,2026-03-21,Kolkata,C98039,RuPay,Dining,Female,3113.0,Credit,DMart,Travel,Approved
n100017,2026-05-31,Mumbai,C87128,MasterCard,Fuel,Male,17725.24,Credit,IRCTC,E-commerce,Approved
n100018,2026-03-26,Bengaluru,C77391,MasterCard,Travel,Female,5434.5,Credit,HPCL,Retail,Declined
n100019,2026-04-15,Mumbai,C22363,Visa,Utilities,Female,8922.01,UPI,HPCL,Utilities,Approved
n100020,2026-06-22,Bengaluru,C17944,Amex,Utilities,Female,20034.75,Credit,IRCTC,Retail,Approved
n100021,2026-05-18,Vizag,C28373,Amex,Groceries,Female,11619.44,Credit,HPCL,Fuel,Approved
n100022,2026-01-13,Hyderabad,C22224,MasterCard,Groceries,Female,12192.46,Credit,IOCL,E-commerce,Approved
n100023,2026-04-08,Hyderabad,C61173,RuPay,Dining,Female,10632.89,NetBanking,HPCL,Retail,Approved
n100024,2026-03-17,Mumbai,C17665,Visa,Utilities,Female,1523.42,NetBanking,HPCL,Fuel,Approved
n100025,2026-01-15,Bengaluru,C34356,Visa,Shopping,Male,16912.79,Credit,IOCL,E-commerce,Approved
n100026,2026-05-29,Hyderabad,C91183,Visa,Dining,Female,23374.19,Credit,Zomato,Retail,Declined
n100027,2026-04-12,Chennai,C98039,RuPay,Dining,Female,23232.56,Credit,Amazon,Food,Approved
n100028,2026-01-19,Mumbai,C76307,RuPay,Groceries,Female,22033.52,Credit,Zomato,Travel,Approved
n100029,2026-04-23,Delhi,C90173,Visa,Utilities,Female,23300.73,Credit,Reliance,Travel,Approved
n100030,2026-01-28,Chennai,C45697,RuPay,Shopping,Male,17968.54,Credit,Swiggy,Fuel,Declined
n100031,2026-03-06,Hyderabad,C22097,Amex,Travel,Male,188.29,Credit,Swiggy,Retail,Declined
n100032,2026-05-22,Kolkata,C83519,Visa,Fuel,Male,23631.77,NetBanking,Reliance,Fuel,Approved
n100033,2026-04-05,Chennai,C66333,MasterCard,Fuel,Female,9179.82,Credit,Zomato,Retail,Approved
n100034,2026-06-20,Bengaluru,C56357,Amex,Shopping,Male,23151.52,Credit,Reliance,Retail,Declined
n100035,2026-01-07,Chennai,C53540,Amex,Utilities,Male,6743.46,NetBanking,DMart,Food,Approved
n100036,2026-05-01,Mumbai,C36158,Amex,Travel,Female,20531.36,Credit,IRCTC,E-commerce,Approved
n100037,2026-04-13,Pune,C46517,Visa,Travel,Female,16072.9,UPI,Zomato,E-commerce,Approved
n100038,2026-03-08,Chennai,C86099,RuPay,Fuel,Male,14954.62,UPI,Zomato,Food,Approved
n100039,2026-04-09,Mumbai,C43386,Visa,Utilities,Female,142.11,NetBanking,IRCTC,Travel,Declined
n100040,2026-01-18,Pune,C91678,RuPay,Utilities,Male,18021.88,UPI,Swiggy,Utilities,Declined
n100041,2026-03-25,Kolkata,C48752,MasterCard,Groceries,Female,16656.74,UPI,Reliance,Fuel,Declined
n100042,2026-04-14,Hyderabad,C49829,RuPay,Groceries,Female,19665.39,NetBanking,Zomato,Food,Declined
n100043,2026-04-24,Mumbai,C77000,Amex,Utilities,Male,16505.38,UPI,Zomato,E-commerce,Approved
n100044,2026-06-22,Delhi,C39444,MasterCard,Groceries,Male,1250.72,UPI,DMart,Food,Declined
n100045,2026-06-11,Mumbai,C60328,Amex,Dining,Male,3774.53,NetBanking,Amazon,E-commerce,Declined
n100046,2026-02-26,Chennai,C77889,Amex,Fuel,Male,22945.0,Credit,HPCL,Retail,Declined
n100047,2026-06-20,Pune,C68008,Amex,Shopping,Female,22440.48,NetBanking,HPCL,Food,Declined
n100048,2026-03-05,Delhi,C78327,Amex,Utilities,Male,6937.48,Credit,Swiggy,Retail,Declined
n100049,2026-03-27,Pune,C80798,Visa,Groceries,Male,5858.41,NetBanking,Reliance,Utilities,Approved
n100050,2026-01-17,Kolkata,C63424,RuPay,Shopping,Female,10452.78,Credit,IOCL,Food,Approved
n100051,2026-05-28,Kolkata,C72518,Visa,Travel,Female,18861.53,UPI,IRCTC,Food,Approved
n100052,2026-03-11,Kolkata,C73654,Visa,Dining,Female,16754.95,UPI,Reliance,Food,Approved
n100053,2026-06-09,Hyderabad,C61645,Visa,Fuel,Female,3478.92,UPI,Reliance,E-commerce,Declined
n100054,2026-04-08,Pune,C37742,Amex,Travel,Female,19054.62,UPI,Swiggy,Food,Declined
n100055,2026-01-21,Vizag,C12540,Visa,Travel,Male,16288.59,NetBanking,Amazon,E-commerce,Approved
n100056,2026-02-21,Hyderabad,C91439,MasterCard,Groceries,Male,11891.67,Credit,IRCTC,Food,Declined
n100057,2026-04-05,Chennai,C89415,Visa,Groceries,Female,2791.66,Credit,Swiggy,Fuel,Declined
n100058,2026-04-12,Mumbai,C19961,MasterCard,Fuel,Female,21272.3,NetBanking,DMart,Fuel,Approved
n100059,2026-03-30,Kolkata,C96706,RuPay,Fuel,Female,415.04,UPI,HPCL,E-commerce,Declined
n100060,2026-04-03,Vizag,C30052,Amex,Groceries,Female,15436.22,NetBanking,HPCL,Food,Declined
n100061,2026-06-01,Delhi,C52245,MasterCard,Fuel,Female,22052.62,Credit,HPCL,Fuel,Declined
n100062,2026-03-28,Hyderabad,C74789,RuPay,Groceries,Female,5381.78,UPI,Zomato,Travel,Declined
n100063,2026-05-23,Hyderabad,C77715,MasterCard,Fuel,Male,18029.86,UPI,IRCTC,Utilities,Declined
n100064,2026-06-15,Vizag,C68743,Visa,Fuel,Female,5617.75,NetBanking,IRCTC,Travel,Declined
n100065,2026-05-02,Pune,C65771,RuPay,Travel,Female,6845.82,UPI,IRCTC,E-commerce,Approved
n100066,2026-03-22,Bengaluru,C80236,MasterCard,Groceries,Male,18491.26,UPI,Swiggy,E-commerce,Approved
