transaction_id,transaction_date,city,customer_id,card_type,expense_type,gender,amount,payment_mode,merchant,merchant_category,approval_status
s100000,2026-01-17, vizag ,C56013,Visa,Dining,Male,16709.18,UPI, IRCTC ,Food,Approved
s100001,2026-03-17, chennai ,C26296,RuPay,Fuel,Female,10775.63,UPI, SWIGGY ,Retail,Declined
s100002,2026-05-21, vizag ,C19164,Amex,Fuel,Male,8159.08,NetBanking, IRCTC ,Travel,Approved
s100003,2026-01-15, pune ,C46517,MasterCard,Travel,Female,4060.33,UPI, IRCTC ,Fuel,Declined
s100004,2026-03-13, mumbai ,C98252,MasterCard,Fuel,Female,2152.9,Credit, AMAZON ,Utilities,Approved
s100005,2026-05-21, kolkata ,C96630,Amex,Shopping,Female,3913.93,NetBanking, HPCL ,Food,Declined
s100006,2026-01-27, pune ,C39128,Amex,Utilities,Female,19775.59,Credit, HPCL ,Utilities,Declined
s100007,2026-01-10, kolkata ,C59217,Visa,Utilities,Male,24920.73,NetBanking, ZOMATO ,Utilities,Declined
s100008,2026-05-13, pune ,C84104,RuPay,Travel,Male,10567.25,NetBanking, IRCTC ,Retail,Approved
s100009,2026-01-22, bengaluru ,C51922,Amex,Utilities,Female,7873.18,Credit, RELIANCE ,Food,Approved
s100010,2026-01-26, hyderabad ,C61534,Visa,Utilities,Male,18779.85,UPI, IRCTC ,Retail,Approved
s100011,2026-06-25, pune ,C26043,RuPay,Groceries,Male,14907.89,Credit, IOCL ,Travel,Declined
s100012,2026-01-24, mumbai ,C18104,Amex,Utilities,Male,20007.67,NetBanking, HPCL ,E-commerce,Declined
s100013,2026-05-11, delhi ,C99340,RuPay,Travel,Female,23101.19,Credit, AMAZON ,E-commerce,Declined
s100014,2026-06-15, delhi ,C54161,Amex,Utilities,Female,11775.05,UPI, DMART ,Utilities,Declined
s100015,2026-04-18, pune ,C23143,MasterCard,Fuel,Female,6187.69,Credit, ZOMATO ,Retail,Approved
s100016,2026-06-30, kolkata ,C35801,Visa,Travel,Female,18391.45,UPI, IOCL ,Food,Approved
s100017,2026-04-27, hyderabad ,C34489,RuPay,Fuel,Female,18004.81,UPI, IOCL ,Food,Approved
s100018,2026-04-09, pune ,C12527,RuPay,Utilities,Male,10720.78,Credit, IOCL ,Fuel,Declined
s100019,2026-04-06, pune ,C37418,MasterCard,Dining,Female,12461.67,Credit, SWIGGY ,E-commerce,Approved
s100020,2026-06-22, delhi ,C11835,RuPay,Groceries,Female,13057.62,NetBanking, IRCTC ,Travel,Declined
s100021,2026-01-13, hyderabad ,C10700,Visa,Shopping,Male,292.48,NetBanking, HPCL ,E-commerce,Declined
s100022,2026-06-11, mumbai ,C79620,Visa,Shopping,Male,17802.02,NetBanking, RELIANCE ,Food,Approved
s100023,2026-05-25, bengaluru ,C76316,MasterCard,Shopping,Male,23844.39,NetBanking, HPCL ,Fuel,Approved
s100024,2026-01-25, kolkata ,C53577,Visa,Fuel,Male,11687.38,UPI, HPCL ,Food,Approved
s100025,2026-01-27, hyderabad ,C78147,Amex,Utilities,Female,17123.49,UPI, RELIANCE ,Retail,Declined
s100026,2026-02-03, delhi ,C88263,Visa,Travel,Male,17184.5,NetBanking, IRCTC ,Retail,Approved
s100027,2026-04-14, kolkata ,C54170,Visa,Dining,Female,5102.8,Credit, DMART ,Fuel,Declined
s100028,2026-03-16, mumbai ,C25167,MasterCard,Travel,Male,17858.5,NetBanking, HPCL ,Utilities,Declined
s100029,2026-02-16, pune ,C54916,MasterCard,Dining,Female,16515.05,Credit, DMART ,Fuel,Approved
s100030,2026-03-24, kolkata ,C65556,RuPay,Fuel,Female,5441.0,Credit, HPCL ,Retail,Declined
s100031,2026-01-25, pune ,C43008,MasterCard,Dining,Male,13421.61,NetBanking, IRCTC ,Travel,Approved
s100032,2026-03-01, pune ,C13079,MasterCard,Groceries,Female,10116.06,NetBanking, HPCL ,Travel,Declined
s100033,2026-06-12, vizag ,C52698,Amex,Travel,Female,10754.57,UPI, SWIGGY ,Utilities,Declined
s100034,2026-05-18, chennai ,C25060,Amex,Groceries,Male,2732.73,Credit, ZOMATO ,Travel,Declined
s100035,2026-05-01, delhi ,C15241,RuPay,Fuel,Male,19261.24,UPI, DMART ,Retail,Declined
s100036,2026-06-20, kolkata ,C58944,Visa,Shopping,Female,8148.09,UPI, IOCL ,Utilities,Approved
s100037,2026-05-20, vizag ,C44929,RuPay,Dining,Female,2047.49,UPI, DMART ,Retail,Declined
s100038,2026-03-03, mumbai ,C44553,Visa,Fuel,Female,9279.24,UPI, RELIANCE ,Fuel,Declined
s100039,2026-04-18, kolkata ,C58062,Amex,Groceries,Male,21929.8,UPI, AMAZON ,Retail,Approved
s100040,2026-02-24, kolkata ,C67750,Amex,Dining,Female,7853.7,Credit, AMAZON ,Utilities,Declined
s100041,2026-02-21, vizag ,C25991,Visa,Shopping,Male,24657.65,Credit, AMAZON ,Retail,Declined
s100042,2026-01-10, mumbai ,C53952,MasterCard,Dining,Male,22995.77,UPI, IRCTC ,Utilities,Approved
s100043,2026-01-14, mumbai ,C20450,Visa,Dining,Female,9924.73,UPI, ZOMATO ,E-commerce,Declined
s100044,2026-05-02, vizag ,C94213,Amex,Shopping,Female,8806.44,NetBanking, HPCL ,Fuel,Declined
s100045,2026-04-30, vizag ,C21180,Visa,Travel,Male,11506.79,NetBanking, SWIGGY ,Food,Approved
s100046,2026-06-15, hyderabad ,C59227,MasterCard,Groceries,Female,2501.21,NetBanking, IRCTC ,Retail,Declined
s100047,2026-06-21, kolkata ,C61443,Amex,Shopping,Female,3737.9,Credit, IRCTC ,Retail,Declined
s100048,2026-03-26, hyderabad ,C94079,MasterCard,Fuel,Female,22904.98,UPI, DMART ,E-commerce,Declined
s100049,2026-02-13, hyderabad ,C68062,Amex,Travel,Male,24961.49,Credit, IRCTC ,Travel,Approved
s100050,2026-05-25, delhi ,C88667,RuPay,Dining,Female,1420.8,NetBanking, IOCL ,Utilities,Approved
s100051,2026-01-08, delhi ,C92917,MasterCard,Utilities,Female,1438.06,UPI, IRCTC ,Fuel,Declined
s100052,2026-05-19, vizag ,C62223,Visa,Groceries,Female,10338.29,UPI, RELIANCE ,E-commerce,Approved
s100053,2026-03-27, delhi ,C92709,RuPay,Dining,Male,24825.82,NetBanking, IRCTC ,E-commerce,Declined
s100054,2026-02-20, mumbai ,C99647,RuPay,Shopping,Female,6201.13,Credit, RELIANCE ,E-commerce,Approved
s100055,2026-05-14, pune ,C85625,Visa,Travel,Male,24312.2,Credit, RELIANCE ,Travel,Approved
s100056,2026-06-23, vizag ,C14195,MasterCard,Dining,Female,4664.77,Credit, HPCL ,Utilities,Approved
s100057,2026-02-25, bengaluru ,C36811,RuPay,Utilities,Male,7851.9,UPI, HPCL ,E-commerce,Declined
s100058,2026-04-11, chennai ,C19811,Amex,Dining,Female,18216.65,NetBanking, RELIANCE ,E-commerce,Approved
s100059,2026-01-27, vizag ,C27797,Amex,Travel,Male,2114.59,UPI, DMART ,Food,Declined
s100060,2026-01-06, vizag ,C99634,Amex,Groceries,Male,5700.32,UPI, AMAZON ,Utilities,Declined
s100061,2026-05-31, kolkata ,C20524,Amex,Utilities,Female,2392.41,UPI, IOCL ,Retail,Declined
s100062,2026-01-24, delhi ,C55993,Amex,Fuel,Female,7978.71,NetBanking, IOCL ,Fuel,Declined
s100063,2026-02-11, mumbai ,C67894,RuPay,Utilities,Female,11616.0,NetBanking, HPCL ,E-commerce,Approved
s100064,2026-01-17, mumbai ,C95948,Visa,Dining,Female,18060.69,UPI, AMAZON ,Utilities,Declined
s100065,2026-06-13, hyderabad ,C10189,MasterCard,Groceries,Female,14477.78,UPI, RELIANCE ,Utilities,Declined
s100066,2026-03-20, pune ,C33991,Amex,Shopping,Female,23730.06,Credit, AMAZON ,Retail,Declined
s100067,2026-05-09, hyderabad ,C65056,RuPay,Dining,Female,20854.01,UPI, DMART ,Utilities,Declined
s100068,2026-05-19, delhi ,C88781,Amex,Utilities,Female,15095.27,Credit, RELIANCE ,E-commerce,Approved
s100069,2026-05-29, chennai ,C31871,Amex,Shopping,Female,12580.06,Credit, IRCTC ,Food,Declined
s100070,2026-04-06, vizag ,C79638,RuPay,Travel,Female,12154.38,NetBanking, IOCL ,Travel,Approved
s100071,2026-01-02, chennai ,C44165,Amex,Travel,Male,549.83,NetBanking, DMART ,Retail,Approved
s100072,2026-02-08, chennai ,C55352,Amex,Travel,Male,6541.24,Credit, RELIANCE ,Food,Declined
s100073,2026-03-20, mumbai ,C58949,Visa,Shopping,Female,20973.69,UPI, ZOMATO ,Utilities,Declined
s100074,2026-03-01, bengaluru ,C47548,MasterCard,Utilities,Female,10604.99,Credit, SWIGGY ,Food,Declined
s100075,2026-04-20, hyderabad ,C36402,MasterCard,Utilities,Male,12084.01,Credit, AMAZON ,E-commerce,Approved
s100076,2026-03-07, pune ,C78893,Amex,Travel,Male,15761.14,NetBanking, IRCTC ,Fuel,Declined
s100077,2026-06-06, vizag ,C89042,MasterCard,Utilities,Male,18920.76,NetBanking, IRCTC ,Retail,Approved
s100078,2026-02-20, vizag ,C66304,MasterCard,Shopping,Female,13097.9,NetBanking, RELIANCE ,Travel,Approved
s100079,2026-04-25, mumbai ,C83044,Amex,Shopping,Male,22785.16,UPI, ZOMATO ,Retail,Approved
s100080,2026-03-05, pune ,C14868,Amex,Utilities,Male,12050.07,UPI, IRCTC ,Utilities,Declined
s100081,2026-02-04, bengaluru ,C85990,Visa,Dining,Female,23097.2,NetBanking, IOCL ,E-commerce,Approved
s100082,2026-02-23, delhi ,C33135,RuPay,Fuel,Female,11646.09,NetBanking, RELIANCE ,Food,Declined
s100083,2026-02-17, bengaluru ,C17415,Amex,Dining,Female,11477.01,UPI, IOCL ,Food,Approved
s100084,2026-06-29, vizag ,C19861,Visa,Shopping,Male,9036.18,NetBanking, HPCL ,Travel,Declined
s100085,2026-05-09, mumbai ,C38469,Visa,Travel,Male,17334.55,UPI, AMAZON ,Utilities,Declined
s100086,2026-02-10, delhi ,C28387,Amex,Fuel,Male,17758.72,Credit, RELIANCE ,Travel,Declined
s100087,2026-05-08, mumbai ,C61056,RuPay,Fuel,Female,19520.21,Credit, IOCL ,Food,Approved
s100088,2026-02-24, chennai ,C86063,RuPay,Fuel,Female,6031.63,UPI, HPCL ,Retail,Declined
s100089,2026-04-30, kolkata ,C36724,RuPay,Dining,Male,20219.22,NetBanking, ZOMATO ,E-commerce,Approved
s100090,2026-04-30, chennai ,C82450,RuPay,Groceries,Female,13164.3,Credit, AMAZON ,Fuel,Declined
s100091,2026-04-22, chennai ,C45093,RuPay,Utilities,Male,23251.43,Credit, SWIGGY ,Fuel,Approved
s100092,2026-03-21, vizag ,C39293,RuPay,Utilities,Female,9430.21,Credit, SWIGGY ,Travel,Approved
s100093,2026-04-08, delhi ,C91084,Amex,Fuel,Male,12234.32,NetBanking, HPCL ,Food,Approved
s100094,2026-02-08, chennai ,C28531,Amex,Travel,Female,18288.5,Credit, ZOMATO ,Retail,Approved
s100095,2026-01-09, hyderabad ,C29367,Amex,Fuel,Male,11559.34,UPI, AMAZON ,Food,Declined
s100096,2026-06-06, vizag ,C67264,MasterCard,Shopping,Male,22438.27,Credit, SWIGGY ,Travel,Approved
s100097,2026-05-22, kolkata ,C95076,Visa,Fuel,Female,12941.47,Credit, RELIANCE ,E-commerce,Declined
s100098,2026-03-29, hyderabad ,C17164,Visa,Dining,Male,23778.08,UPI, ZOMATO ,Fuel,Approved
s100099,2026-05-30, chennai ,C28828,RuPay,Travel,Female,8962.46,UPI, ZOMATO ,Retail,Approved
s100100,2026-02-16, chennai ,C22571,RuPay,Utilities,Female,7063.04,Credit, IRCTC ,Fuel,Declined
s100101,2026-06-17, bengaluru ,C68618,Amex,Shopping,Male,5294.38,Credit, IRCTC ,Fuel,Approved
s100102,2026-03-23, kolkata ,C86519,RuPay,Shopping,Male,12092.45,UPI, IOCL ,Fuel,Declined
s100103,2026-01-17, hyderabad ,C66542,MasterCard,Dining,Male,16304.67,Credit, RELIANCE ,Fuel,Declined
s100104,2026-03-16, hyderabad ,C75862,Visa,Fuel,Female,20703.32,Credit, IOCL ,Fuel,Approved
s100105,2026-05-16, chennai ,C19076,RuPay,Travel,Male,13676.11,NetBanking, IOCL ,Retail,Approved
s100106,2026-01-02, chennai ,C82416,RuPay,Fuel,Female,3698.26,NetBanking, ZOMATO ,E-commerce,Declined
s100107,2026-04-09, hyderabad ,C83352,MasterCard,Utilities,Male,14316.81,Credit, IOCL ,E-commerce,Declined
s100108,2026-06-29, pune ,C79244,Amex,Travel,Female,15370.17,NetBanking, DMART ,Fuel,Declined
s100109,2026-03-11, hyderabad ,C87887,MasterCard,Shopping,Female,8894.9,UPI, HPCL ,E-commerce,Approved
s100110,2026-05-08, hyderabad ,C58858,RuPay,Shopping,Female,7720.72,UPI, AMAZON ,Travel,Declined
s100111,2026-04-08, chennai ,C39496,Visa,Utilities,Male,20858.73,UPI, AMAZON ,Fuel,Declined
s100112,2026-03-11, kolkata ,C24164,RuPay,Fuel,Male,3549.36,NetBanking, IRCTC ,Travel,Approved
s100113,2026-04-17, kolkata ,C92362,RuPay,Dining,Female,20924.7,UPI, AMAZON ,Travel,Approved
s100114,2026-05-11, pune ,C94399,RuPay,Utilities,Female,10762.15,UPI, IRCTC ,Food,Approved
s100115,2026-05-30, bengaluru ,C88884,RuPay,Dining,Female,5721.22,Credit, AMAZON ,Utilities,Approved
s100116,2026-03-25, chennai ,C20832,Amex,Fuel,Male,769.97,UPI, IOCL ,Travel,Declined
s100117,2026-01-19, delhi ,C34548,RuPay,Utilities,Male,4291.59,Credit, DMART ,Utilities,Approved
s100118,2026-02-03, kolkata ,C94939,Amex,Utilities,Male,5940.39,UPI, IRCTC ,Utilities,Approved
s100119,2026-02-26, mumbai ,C10974,MasterCard,Fuel,Female,9312.87,Credit, IRCTC ,Food,Approved
s100120,2026-02-23, delhi ,C60577,MasterCard,Groceries,Male,12922.84,UPI, RELIANCE ,Travel,Declined
s100121,2026-03-23, kolkata ,C82412,Amex,Dining,Male,18723.17,UPI, AMAZON ,E-commerce,Approved
s100122,2026-04-03, pune ,C38209,Visa,Travel,Female,20821.11,Credit, DMART ,Travel,Declined
s100123,2026-02-26, pune ,C69514,Visa,Shopping,Male,24038.33,UPI, SWIGGY ,Fuel,Approved
s100124,2026-03-14, bengaluru ,C55554,Visa,Travel,Female,10749.38,Credit, ZOMATO ,Travel,Approved
s100125,2026-04-27, bengaluru ,C14657,Visa,Dining,Female,10434.15,Credit, IOCL ,Food,Declined
s100126,2026-05-18, pune ,C48075,RuPay,Utilities,Female,5950.1,NetBanking, IOCL ,Retail,Declined
s100127,2026-05-08, kolkata ,C66827,RuPay,Shopping,Female,15495.27,Credit, RELIANCE ,Utilities,Approved
s100128,2026-03-12, delhi ,C27403,MasterCard,Shopping,Male,20885.21,Credit, RELIANCE ,Food,Declined
s100129,2026-03-10, delhi ,C90465,Visa,Shopping,Female,2507.68,UPI, RELIANCE ,Fuel,Approved
s100130,2026-04-14, mumbai ,C53928,Visa,Utilities,Female,18821.48,Credit, DMART ,Utilities,Declined
s100131,2026-01-22, mumbai ,C20123,MasterCard,Travel,Female,2930.7,Credit, HPCL ,E-commerce,Approved
s100132,2026-05-05, delhi ,C72235,MasterCard,Travel,Female,11460.39,NetBanking, IRCTC ,Food,Approved
s100133,2026-02-14, mumbai ,C91342,Visa,Dining,Female,1995.96,NetBanking, IOCL ,Fuel,Approved
s100134,2026-02-13, pune ,C78451,RuPay,Utilities,Female,16572.04,Credit, IRCTC ,Utilities,Declined
s100135,2026-06-28, vizag ,C49899,Visa,Shopping,Female,7755.38,UPI, AMAZON ,Food,Approved
s100136,2026-06-06, vizag ,C29855,Amex,Fuel,Female,8745.6,UPI, HPCL ,Food,Approved
s100137,2026-04-09, bengaluru ,C76425,MasterCard,Utilities,Female,6637.3,UPI, DMART ,E-commerce,Approved
s100138,2026-06-02, pune ,C44170,RuPay,Travel,Male,14667.19,NetBanking, RELIANCE ,Travel,Approved
s100139,2026-04-05, chennai ,C77354,Amex,Groceries,Female,13724.08,Credit, DMART ,Food,Approved
s100140,2026-06-21, vizag ,C16285,Amex,Travel,Male,7676.73,UPI, IRCTC ,Retail,Declined
s100141,2026-06-26, pune ,C33490,Visa,Fuel,Female,9591.13,Credit, SWIGGY ,Food,Approved
s100142,2026-04-08, delhi ,C20039,RuPay,Dining,Male,4775.95,UPI, SWIGGY ,E-commerce,Approved
s100143,2026-02-21, delhi ,C19398,Amex,Shopping,Male,488.47,Credit, HPCL ,E-commerce,Declined
s100144,2026-05-04, bengaluru ,C96112,RuPay,Travel,Male,7859.55,UPI, DMART ,Travel,Declined
s100145,2026-03-25, mumbai ,C81124,Amex,Groceries,Female,13771.21,UPI, RELIANCE ,Fuel,Declined
s100146,2026-04-20, bengaluru ,C77824,Visa,Shopping,Female,6106.97,NetBanking, DMART ,Food,Declined
s100147,2026-05-16, chennai ,C71394,MasterCard,Groceries,Male,20597.19,NetBanking, AMAZON ,Food,Approved
s100148,2026-03-21, kolkata ,C46106,RuPay,Travel,Male,5978.95,NetBanking, AMAZON ,Food,Approved
s100149,2026-03-08, pune ,C26302,Visa,Shopping,Male,20982.07,UPI, IRCTC ,Retail,Approved
s100150,2026-01-08, chennai ,C74615,Amex,Groceries,Male,20213.49,UPI, RELIANCE ,Retail,Approved
s100151,2026-05-08, mumbai ,C65931,RuPay,Fuel,Female,20795.6,Credit, IOCL ,E-commerce,Declined
s100152,2026-05-30, hyderabad ,C44126,Amex,Groceries,Female,5350.02,Credit, RELIANCE ,Food,Declined
s100153,2026-03-08, mumbai ,C16871,RuPay,Groceries,Female,22226.79,UPI, ZOMATO ,E-commerce,Approved
s100154,2026-06-23, pune ,C90553,Amex,Travel,Male,10578.16,NetBanking, IOCL ,E-commerce,Approved
s100155,2026-06-06, vizag ,C30491,Amex,Travel,Male,17546.36,Credit, SWIGGY ,Utilities,Approved
s100156,2026-01-30, kolkata ,C48136,Visa,Fuel,Male,17559.97,UPI, ZOMATO ,Food,Declined
s100157,2026-01-13, chennai ,C57278,RuPay,Groceries,Female,1113.98,UPI, RELIANCE ,Fuel,Approved
s100158,2026-02-12, mumbai ,C78242,RuPay,Groceries,Female,21288.32,NetBanking, IRCTC ,Fuel,Declined
