customer_id,transaction_id,amount,city,transaction_date,approval_status,expense_type,card_type,merchant_category,merchant,payment_mode,gender
C44406,w100000,5709.94,Hyderabad,2026-06-12,Approved,Shopping,MasterCard,Travel,Swiggy,Credit,Male
C78227,w100001,12000.33,Mumbai,2026-03-14,Approved,Dining,MasterCard,Travel,Amazon,NetBanking,Male
C40978,w100002,5386.42,Chennai,2026-04-18,Declined,Utilities,Visa,Fuel,HPCL,NetBanking,Female
C31934,w100003,23533.86,Mumbai,2026-03-14,Approved,Shopping,Amex,Travel,Swiggy,Credit,Male
C10140,w100004,8686.84,Pune,2026-01-17,Approved,Utilities,MasterCard,Fuel,HPCL,UPI,Male
C95963,w100005,21255.55,Chennai,2026-05-24,Declined,Dining,RuPay,Retail,Amazon,UPI,Male
C43125,w100006,3640.14,Mumbai,2026-03-06,Approved,Shopping,Amex,Fuel,HPCL,NetBanking,Male
C50984,w100007,5121.42,Pune,2026-04-30,Declined,Fuel,Amex,E-commerce,Reliance,NetBanking,Female
C24627,w100008,3851.24,Mumbai,2026-01-05,Declined,Fuel,RuPay,Utilities,Swiggy,NetBanking,Female
C31083,w100009,16844.24,Chennai,2026-03-25,Approved,Dining,Amex,Food,IOCL,NetBanking,Female
C83302,w100010,3868.99,Pune,2026-06-07,Declined,Travel,RuPay,E-commerce,HPCL,UPI,Male
C11203,w100011,14409.17,Chennai,2026-04-08,Approved,Groceries,Visa,Utilities,DMart,NetBanking,Female
C27323,w100012,19623.94,Bengaluru,2026-04-28,Declined,Dining,MasterCard,Utilities,IOCL,Credit,Male
C28508,w100013,22120.15,Bengaluru,2026-02-03,Approved,Shopping,Visa,E-commerce,IOCL,NetBanking,Female
C37236,w100014,11934.46,Pune,2026-03-26,Declined,Groceries,Visa,Fuel,HPCL,UPI,Female
C21432,w100015,15466.06,Mumbai,2026-04-05,Approved,Groceries,Visa,Retail,DMart,Credit,Male
C92418,w100016,24419.55,Pune,2026-02-03,Declined,Shopping,MasterCard,Food,Amazon,NetBanking,Female
C61118,w100017,21785.57,Pune,2026-02-19,Approved,Travel,RuPay,Retail,HPCL,UPI,Female
C56829,w100018,17433.79,Hyderabad,2026-01-23,Declined,Fuel,Amex,Retail,Zomato,NetBanking,Male
C37483,w100019,2445.08,Delhi,2026-04-19,Declined,Shopping,Amex,Retail,IOCL,NetBanking,Male
C92566,w100020,15537.71,Chennai,2026-01-01,Approved,Dining,Visa,E-commerce,Reliance,UPI,Male
C75558,w100021,21923.71,Chennai,2026-05-26,Declined,Groceries,RuPay,Travel,HPCL,UPI,Female
C44527,w100022,5812.75,Kolkata,2026-06-09,Declined,Fuel,MasterCard,E-commerce,DMart,Credit,Male
C69447,w100023,6056.72,Delhi,2026-06-23,Approved,Groceries,MasterCard,Utilities,DMart,NetBanking,Female
C71251,w100024,20047.09,Delhi,2026-04-30,Approved,Dining,RuPay,E-commerce,Reliance,Credit,Male
C52736,w100025,12962.47,Chennai,2026-04-14,Approved,Groceries,MasterCard,E-commerce,Reliance,NetBanking,Female
C87378,w100026,22257.66,Mumbai,2026-02-06,Declined,Groceries,Amex,Food,Amazon,NetBanking,Male
C36689,w100027,8899.52,Bengaluru,2026-05-23,Declined,Dining,Visa,Retail,IRCTC,Credit,Female
C73081,w100028,20154.43,Kolkata,2026-03-16,Declined,Travel,Visa,Utilities,IRCTC,NetBanking,Male
C10840,w100029,23449.44,Hyderabad,2026-06-03,Approved,Dining,Amex,Utilities,IOCL,UPI,Female
C31474,w100030,3282.13,Vizag,2026-04-21,Approved,Dining,Visa,Utilities,Reliance,Credit,Female
C18639,w100031,3189.21,Delhi,2026-02-21,Approved,Dining,RuPay,Food,IOCL,Credit,Male
C82045,w100032,22559.75,Hyderabad,2026-01-16,Declined,Shopping,Amex,Travel,Swiggy,UPI,Male
C24101,w100033,15697.37,Mumbai,2026-02-24,Approved,Shopping,MasterCard,E-commerce,IOCL,Credit,Male
C51548,w100034,5864.6,Hyderabad,2026-06-15,Approved,Utilities,Visa,Utilities,IOCL,NetBanking,Female
C31135,w100035,6874.02,Vizag,2026-06-12,Declined,Groceries,Visa,E-commerce,Reliance,Credit,Male
C13231,w100036,3281.59,Bengaluru,2026-03-30,Approved,Fuel,MasterCard,Travel,IOCL,NetBanking,Male
C31033,w100037,12399.61,Mumbai,2026-03-29,Approved,Utilities,RuPay,Travel,DMart,Credit,Female
C91420,w100038,10559.04,Chennai,2026-04-10,Approved,Fuel,Amex,Utilities,Reliance,NetBanking,Female
C44422,w100039,5769.79,Delhi,2026-01-17,Approved,Utilities,Amex,E-commerce,Amazon,Credit,Female
C52695,w100040,23847.47,Bengaluru,2026-02-08,Approved,Travel,MasterCard,Food,Amazon,UPI,Male
