transaction_id,city_id,card_id,expense_type_id,transaction_date,amount
1001,102,1,13,2025-03-13,27929.1
1002,102,3,15,2025-08-05,15581.57
1003,101,1,12,2025-11-05,26944.44
1004,101,3,16,2025-10-07,66878.52
1005,107,1,15,2025-01-04,30651.0
1006,103,3,13,2025-04-21,30624.6
1007,106,1,14,2025-06-26,16407.05
1008,105,4,16,2025-03-05,46715.4
1009,107,1,13,2025-11-13,91978.21
1010,106,3,16,2025-12-05,13989.76
1011,104,4,11,2025-02-21,96566.3
1012,107,2,16,2025-03-25,92784.05
1013,106,2,16,2025-12-16,29727.56
1014,102,3,12,2025-05-06,54118.39
1015,103,3,13,2025-11-24,135621.33
1016,104,3,11,2025-01-17,26655.1
1017,106,3,11,2025-10-18,25218.33
1018,106,1,14,2025-11-26,40791.03
1019,108,1,12,2025-10-15,28069.48
1020,105,3,14,2025-07-24,105096.07
1021,106,1,12,2025-02-16,51618.05
1022,101,4,12,2025-12-15,64256.31
1023,107,3,14,2025-08-28,39532.24
1024,105,4,11,2025-02-28,70568.98
1025,105,4,13,2025-08-11,17583.57
1026,103,3,16,2025-05-15,100503.35
1027,103,3,11,2025-06-02,99451.15
1028,104,1,12,2025-09-29,54659.06
1029,101,3,14,2025-07-05,7638.35
1030,105,1,12,2025-02-10,100935.16
1031,102,3,11,2025-09-30,129156.44
1032,103,1,14,2025-03-26,117613.46
1033,105,3,15,2025-04-19,43305.13
1034,104,3,14,2025-11-29,140216.21
1035,106,3,15,2025-05-07,45959.76
1036,104,1,11,2025-04-28,59865.01
1037,104,1,16,2025-04-28,64678.17
1038,102,4,13,2025-05-02,14115.45
1039,105,3,12,2025-10-20,54644.05
1040,108,1,14,2025-04-08,88365.15
1041,102,1,14,2025-07-30,37118.24
1042,108,4,11,2025-11-27,69714.11
1043,102,1,16,2025-02-25,35815.05
1044,104,1,15,2025-08-05,45687.68
1045,103,2,12,2025-02-08,100231.59
1046,108,4,15,2025-11-30,16504.8
1047,101,4,12,2025-09-06,21734.59
